ObservableProperty,Procedure Identifier,Result Type,Unit specified with procedure,Collection 1,Notation,Part of soil/fraction
Index of   P buffer index,http://anzsoil.org/def/au/scm/9I3b,number,UNITLESS,Chemical,0,fine soil fraction (<2mm)
Index of   P buffer index,http://anzsoil.org/def/au/scm/9I3c,number,UNITLESS,Chemical,0,fine soil fraction (<2mm)
Index of   P buffer index,http://anzsoil.org/def/au/scm/9I4a,number,UNITLESS,Chemical,0,fine soil fraction (<2mm)
Index of   P buffer index,http://anzsoil.org/def/au/scm/9I4b,number,UNITLESS,Chemical,0,fine soil fraction (<2mm)
Index of   P buffer index,http://anzsoil.org/def/au/scm/9I4c,number,UNITLESS,Chemical,0,fine soil fraction (<2mm)
Concentration of  Equilibrium phosphorus concentration,http://anzsoil.org/def/au/scm/9J1,number,MicroGM-PER-L,Chemical,EPC,fine soil fraction (<2mm)
  Phosphorus buffering capacity,http://anzsoil.org/def/au/scm/9J1,number,UNITLESS,Chemical,PBC,fine soil fraction (<2mm)
Concentration of  Equilibrium phosphorus concentration,http://anzsoil.org/def/au/scm/9J2,number,MicroGM-PER-L,Chemical,EPC,fine soil fraction (<2mm)
  Phosphorus buffering capacity,http://anzsoil.org/def/au/scm/9J2,number,UNITLESS,Chemical,PBC,fine soil fraction (<2mm)
Estimate of Phosphorus P saturation ratio,http://anzsoil.org/def/au/scm/9K1a,number,0,Chemical,0,fine soil fraction (<2mm)
Estimate of phosphorus P saturation ratio,http://anzsoil.org/def/au/scm/9K1b,number,0,Chemical,0,fine soil fraction (<2mm)
Concentration Ratio of phosphorus ,http://anzsoil.org/def/au/scm/9K2,number,0,Chemical,0,fine soil fraction (<2mm)
Concentration of Sulfur ,http://anzsoil.org/def/au/scm/10A1,number,PERCENT,Chemical,0,fine soil fraction (<2mm)
Concentration of Sulfur ,http://anzsoil.org/def/au/scm/10A2,number,PERCENT,Chemical,0,fine soil fraction (<2mm)
Concentration of Sulfur ,http://anzsoil.org/def/au/scm/10B1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Sulfur ,http://anzsoil.org/def/au/scm/10B2,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Sulfur ,http://anzsoil.org/def/au/scm/10B3,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Sulfur ,http://anzsoil.org/def/au/scm/10B4,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Sulfur ,http://anzsoil.org/def/au/scm/10C1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Sulfur ,http://anzsoil.org/def/au/scm/10D1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
Concentration of Gypsum ,http://anzsoil.org/def/au/scm/11A1,number,PERCENT,Chemical,0,fine soil fraction (<2mm)
Concentration of Gypsum ,http://anzsoil.org/def/au/scm/11A2,number,PERCENT,Chemical,0,fine soil fraction (<2mm)
Concentration of Copper ,http://anzsoil.org/def/au/scm/12A1,number,MilliGM-PER-KiloGM,Chemical,0,fine soil fraction (<2mm)
